📽电影频道,#genre#
Now星影台(國)720P,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/40.ts
Now爆谷台720p,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/41.ts
CCTV6,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/480.ts
CCTV6,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/539.ts
CHC动作影院1080p(CN),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/532.ts
CHC家庭影院480p(CN),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/531.ts
CHC高清电影1080p(CN),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/530.ts
HBO 576p,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/610.ts
HBO 576p,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/202.ts
HBO(粵语) 720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/37.ts
POPC電影頻道720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/45.ts
AMC最爱电影720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/219.ts
AXN 720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/211.ts
CATCHPLAY 电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/216.ts
美亞電影台(粵)720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/42.ts
美亞電影台(國)720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/43.ts
美亚电影台湾台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/208.ts
中國電影頻道香港版720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/44.ts
中国电影频道720p,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/65108.ts
鳳凰衛視電影台576p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/20.ts
天映經典(粵)CCM 576p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/67.ts
天映經典(國)CCM 576p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/68.ts
天映頻道(粵)1080p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/124.ts
天映頻道(國)1080p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/125.ts
天映频道(粤)1080p(MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/663.ts
天映频道(国)1080p(MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/664.ts
星空衛視720p(HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/145.ts
好莱坞电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/210.ts
好莱坞电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/409.ts
壹电影1080p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/222.ts
龙祥时代电影720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/209.ts
私人影院720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/225.ts
影迷数字电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/218.ts
我的欧洲电影720(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/220.ts
华纳电影台540p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/221.ts
华数电影1080p,http://hmfs.f3322.net:3388/hls/40/index.m3u8
纬来电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/231.ts
纬来电影台1080p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/429.ts
龙华洋片台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/238.ts
龙华电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/233.ts
龙华经典台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/237.ts
靖天电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/282.ts
经典电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/359.ts
东森电影台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/179.ts
东森洋片台720p(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/181.ts
📺新聞,#genre#
TVB 無線新聞 News H265 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/3.ts
TVB 無線新聞台 4K (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/8.ts
TVB 無線新聞直播台 4K (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/9.ts
TVB 無線新聞台 CH083 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/13.ts
鳳凰資訊 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/17.ts
HOY 資訊台 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/22.ts
HOY 香港國際財經IBC (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/23.ts
Now 新聞台 CH332 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/29.ts
Now 財經台 CH333 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/30.ts
鳳凰資訊台 CH611 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/88.ts
中天新闻 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/161.ts
东森新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/162.ts
TVBS 新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/163.ts
三立新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/166.ts
台视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/174.ts
民视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/164.ts
中视新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/168.ts
华视新闻信息台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/169.ts
寰宇新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/170.ts
寰宇新闻台湾台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/171.ts
年代新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/165.ts
壹电视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/172.ts
镜电视新闻 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/173.ts
非凡新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/167.ts
三立财经新闻 iNEWS (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/370.ts
SBN 全球财经台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/371.ts
东森财经新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/369.ts
寰宇财经台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/379.ts
台视财经台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/373.ts
非凡商业台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/372.ts
CNN国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/382.ts
CNN头条新闻台(HLN) (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/383.ts
BBC World NEWS (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/384.ts
FRANCE24 英文台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/386.ts
VOA美国之音 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/389.ts
半岛国际新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/385.ts
CNBC Asia 财经台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/390.ts
彭博Bloomberg TV (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/387.ts
AI 倪珍播新闻 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/368.ts
CCTV13,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/487.ts
CCTV13,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/546.ts
上海第一财经 (CN),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/588.ts
CGTN (CN),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/579.ts
TVB NEWS (美),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/444.ts
美国旧金山 KTSF-26,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/467.ts
加拿大600新闻 (加),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/449.ts
TVB 无线新闻海外台,http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/454.ts
东森美洲新闻台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/471.ts
TVB 娱乐新闻台 (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/670.ts
凤凰资讯 (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/747.ts
Aljazeera (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/752.ts
Bloomberg TV (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/756.ts
BBC World News (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/751.ts
CGTN (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/760.ts
CNA亚洲新闻 (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/754.ts
CNN (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/750.ts
CNBC (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/755.ts
DW English (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/758.ts
France 24 (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/759.ts
SkyNews (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/753.ts
ABC Australia (MY),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/757.ts
CNN (JP),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/874.ts
日テレNEWS24 (JP),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/871.ts
BBCワールドニュース (JP),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/873.ts
⛹️‍体育,#genre#
Fight Sports CH642 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/108.ts
Now 668 (粵) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/112.ts
Now 668 (國) CH668 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/113.ts
TVB 88 跑馬台 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/136.ts
HKC 有線18台 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/122.ts
HKC 有線18台(低延時) (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/123.ts
TVB myTV SUPER 18台 CH018 (HK),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/51.ts
ELTA 爱尔达体育1台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/257.ts
ELTA 爱尔达体育2台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/258.ts
ELTA 爱尔达体育3台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/259.ts
ELTA 爱尔达体育4台 (TW) 540P(TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/260.ts
ELTA 爱尔达体育 MAX1台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/261.ts
ELTA 爱尔达体育 MAX2台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/262.ts
ELTA 爱尔达体育 MAX3台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/263.ts
ELTA 爱尔达体育 MAX4台 (TW),http://iptvpro.pw:35451/live/加QQ群1067462089/183mgtDH692/264.ts
