
4K,#genre#
东方卫视4K,http://43.251.226.89:8080/play/926.m3u8$LR•IPV4•2『线路1』
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8$LR•IPV4•2『线路2』
湖南卫视4K,http://43.251.226.89:8080/play/920.m3u8$LR•IPV4•3『线路1』
湖南卫视4K,http://43.251.226.89:8080/play/921.m3u8$LR•IPV4•3『线路2』
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8$LR•IPV4•3『线路3』
浙江卫视4K,http://43.251.226.89:8080/play/922.m3u8$LR•IPV4•3『线路1』
浙江卫视4K,http://43.251.226.89:8080/play/923.m3u8$LR•IPV4•3『线路2』
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8$LR•IPV4•3『线路3』
江苏卫视4K,http://43.251.226.89:8080/play/924.m3u8$LR•IPV4•2『线路1』
江苏卫视4K,http://43.251.226.89:8080/play/925.m3u8$LR•IPV4•2『线路2』
广东卫视4K,http://vvip.lqcc.xyz:8092/stream/channelid/1248069700?auth=PrI5LXwb51dYilt30TvNYVVAgd4A&profile=pass$LR•IPV4•3『线路1』
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146$LR•IPV4•3『线路2』
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K$LR•IPV4•3『线路3』
深圳卫视4K,http://43.251.226.89:8080/play/919.m3u8$LR•IPV4•8『线路1』
深圳卫视4K,https://livepull-tcms.sztv.com.cn:443/live/sz4Kpgm.m3u8$LR•IPV4•8『线路2』
深圳卫视4K,http://8.138.7.223/tv/gd.php?id=0201$LR•IPV4•8『线路3』
深圳卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.1.14:5146$LR•IPV4•8『线路4』
深圳卫视4K,http://27.184.29.189:4022/rtp/239.254.201.68:6000$LR•IPV4•8『线路5』
深圳卫视4K,https://cdn3.163189.xyz/163189/szws4k$LR•IPV4•8『线路6』
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k$LR•IPV4•8『线路7』
深圳卫视4K,http://101.35.240.114:88/live.php?id=深圳卫视4K$LR•IPV4•8『线路8』
